EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2017-1-1,51,42,34,29,26,24,75,48,30,30.42,30.19,29.94,10,10,10,18,12,25,0.00,4,,274
2017-1-2,43,38,32,41,37,25,96,88,66,30.45,30.35,30.19,10,6,2,15,8,25,0.16,8,Rain,52
2017-1-3,48,44,41,46,42,39,97,93,89,30.18,29.79,29.53,10,4,2,15,11,28,0.20,8,Rain,31
2017-1-4,54,45,35,46,36,10,96,74,14,29.83,29.58,29.48,10,6,2,24,12,34,0.01,6,Rain,250
2017-1-5,34,31,28,27,17,8,92,58,23,30.05,29.98,29.85,10,8,1,21,11,28,0.03,7,Snow,253
2017-1-6,32,29,26,28,21,9,93,70,31,30.31,30.05,29.92,10,7,0,13,5,17,0.04,8,Snow,336
2017-1-7,24,22,19,18,13,4,89,68,33,30.33,30.24,30.18,10,5,0,17,13,25,0.08,7,Fog-Snow,1
2017-1-8,24,20,15,7,3,-1,57,46,29,30.69,30.44,30.25,10,10,10,24,15,31,0.00,1,,294
2017-1-9,23,18,12,9,6,4,73,56,36,30.81,30.72,30.67,10,10,10,10,7,,0.00,4,,228
2017-1-10,42,28,14,32,18,9,84,62,38,30.66,30.48,30.20,10,10,10,17,7,29,0.01,7,,175
2017-1-11,54,46,37,46,40,33,93,80,59,30.37,30.26,30.19,10,8,5,22,12,30,0.24,7,Rain,212
2017-1-12,66,56,45,52,50,46,90,74,50,30.19,30.11,30.02,10,10,6,21,15,29,0.03,7,Rain,218
2017-1-13,61,48,35,50,30,14,89,63,36,30.71,30.45,30.14,10,10,10,24,13,30,T,6,,326
2017-1-14,36,33,30,23,17,11,61,50,30,30.71,30.62,30.49,10,10,6,10,5,,0.00,8,Snow,67
